Guid;Сегмент
qdc252w5;Предотток
gc711484;Лояльные
397gbe3g;Предотток
4e6981d9;Отток
qc9we72q;Предотток
8q726497;Лояльные
7241ee11;Лояльные
d6gw944e;Отток
27552c2b;Отток
wc955wqw;Лояльные
65b75b7g;Отток
7356c47g;Отток
6ge7b3b5;Предотток
w84c15qq;Спящие
9eg6q42q;Лояльные
6w798be3;Спящие
1eq3b3dc;Спящие
79566872;Лояльные
ggw3q1eg;Лояльные
d2q5d14q;Лояльные
64269299;Отток
q1cq16ee;Отток
w8169wdd;Отток
dcc9ee8g;Предотток
ec959g76;Отток
b6c8c245;Предотток
g45g521c;Лояльные
d2631c37;Лояльные
9w8186d5;Отток
72d6b212;Отток
wcd5g169;Отток
6ecq565c;Лояльные
q89c3bwq;Лояльные
44b2d7e1;Лояльные
5qb11543;Отток
92b31536;Предотток
b6q66q38;Отток
g66894c2;Предотток
4452q2w5;Отток
w39619w2;Лояльные
48e34ge3;Отток
qd8b5q1d;Лояльные
65dg9625;Лояльные
c916dgb4;Предотток
3d17e93g;Предотток
364752w8;Отток
78e9q2d2;Отток
4g96q583;Спящие
c8bwdgd2;Отток
de7e3447;Лояльные
3g66dd95;Отток
b625734e;Отток
q33992w7;Лояльные
72qeqb84;Отток
9d775e38;Предотток
522q23gg;Отток
bew49325;Предотток
115g24c7;Отток
9b79d2bd;Предотток
ww637ed9;Лояльные
7qg959g6;Отток
43994wd4;Спящие
b1gc85cw;Лояльные
6dwedg26;Отток
c9w6bg24;Лояльные
659gc53c;Отток
w717eb77;Лояльные
83988b7g;Предотток
c5w427eg;Предотток
642e5276;Предотток
b96w4g5w;Отток
89c8c4b6;Отток
54qe9g69;Отток
d3d84749;Отток
wc1g885d;Спящие
723w6667;Предотток
1eq3b3w3;Спящие
5w8cd517;Отток
1b87b6dg;Предотток
627g1b27;Спящие
gcb51geb;Лояльные
gggdd9b7;Отток
4geew2d2;Спящие
q651539q;Лояльные
22396d36;Спящие
188b29q1;Лояльные
325798bd;Лояльные
17gb5ewc;Спящие
bdq138gg;Отток
52ge529b;Отток
43ww4e8q;Лояльные
381e78b8;Отток
eq65882c;Отток
8e79wbc7;Спящие
5b43d719;Спящие
7e25g9qq;Отток
dewdceeq;Отток
6edqegc6;Отток
ed2381eg;Спящие
8w7wb73g;Лояльные
7b63813c;Предотток
89q1we33;Спящие
3q3q5qwd;Отток
c75b3613;Предотток
w45g9c8e;Отток
e91ed86b;Отток
dd27qb83;Лояльные
qw5279w3;Отток
w4ebgwbe;Лояльные
3q688eq8;Спящие
e4c91315;Отток
1g2b77ec;Отток
dew1be26;Спящие
1d2g3weq;Отток
995g32ec;Спящие
56c9d44w;Отток
d4q1db2c;Лояльные
8dww26cq;Предотток
682c6bwg;Лояльные
d86w2ebg;Лояльные
w5qbwc55;Отток
g5dg848e;Отток
12b4bb89;Отток
e7w59b65;Лояльные
bd2ee889;Спящие
g92e3gcg;Отток
2qd45d97;Отток
6ccqgd6w;Предотток
65115eeq;Лояльные
w62315b1;Спящие
c8c8318q;Отток
52gbq298;Лояльные
e3b2cc79;Предотток
egecw15q;Отток
g1c3947b;Спящие
w11c4d34;Отток
bg74b75c;Отток
cwqg8398;Лояльные
qd3w736e;Отток
65e9e985;Предотток
3397159w;Предотток
2bed2egg;Спящие
51497e23;Отток
314d93b3;Лояльные
6wb2b7wc;Лояльные
868b338d;Лояльные
669b1154;Лояльные
9e6q5668;Отток
8c6e7cq5;Лояльные
c8c53d36;Отток
879qdee1;Лояльные
3d6geq11;Спящие
bd72d2wc;Предотток
56gc3b7w;Отток
64w6258b;Предотток
2e314w73;Лояльные
gccc22cd;Лояльные
42487952;Лояльные
445cwb9d;Лояльные
84114947;Лояльные
84bgq429;Предотток
75d7qb49;Отток
g9916we2;Предотток
cb98g7w5;Лояльные
7cg7e6dg;Отток
987cd2g9;Отток
gg843918;Отток
e116629g;Лояльные
7c8g8231;Предотток
52b5de38;Лояльные
9cq7qcq7;Спящие
7q1cb9bq;Предотток
15452d8w;Лояльные
c9b5g3wd;Спящие
7eg67q22;Отток
b1deg28w;Отток
dw243bw2;Лояльные
9e2b7331;Спящие
8264g28c;Лояльные
7qq3683d;Отток
26cq7g81;Отток
3q5cqd1b;Отток
deg8ddqe;Лояльные
d3q9dqc9;Предотток
d249g7b7;Отток
1d3g1cq4;Лояльные
c8566c6w;Лояльные
98736542;Отток
w9g4q2q1;Предотток
w4314wb3;Спящие
26bc4128;Лояльные
geb28q95;Отток
q7wg3234;Отток
26wg39e8;Отток
4w7854ww;Отток
6eccdcg8;Отток
983gg8b2;Предотток
q32dwe7q;Лояльные
2cbg3448;Отток
q9586682;Лояльные
d12321d1;Лояльные
7qd67qgc;Спящие
d7736c9g;Предотток
q749bdc1;Отток
35371139;Предотток
b9wqb8e3;Отток
2w195284;Лояльные
ww48q152;Отток
w36g1ew7;Отток
gc393w25;Отток
e6d55128;Предотток
5ee1w3c4;Предотток
3997cdbb;Отток
59132ccw;Лояльные
41q16db5;Отток
w984118c;Отток
d285198e;Спящие
c456c862;Спящие
9571e9ge;Отток
2gq6748d;Лояльные
1e8q6959;Отток
1db96366;Отток
556772q7;Лояльные
eq66944d;Отток
2ge113de;Лояльные
4963b1dw;Лояльные
5363edw1;Лояльные
37354db5;Предотток
744cgeeq;Лояльные
3dqbdq18;Отток
b3c397g8;Спящие
38d6q3w7;Лояльные
8b69d29w;Лояльные
w61d3d19;Предотток
w2171bd6;Лояльные
5g36ec24;Отток
39q34q24;Отток
d33q75d8;Предотток
35d83deb;Предотток
g79g635w;Спящие
1e17qecd;Отток
4bcded8e;Отток
gcw97453;Спящие
9wbq7bd9;Отток
w4wc1wqq;Отток
595ee9g7;Отток
56ggb1e4;Отток
bq4gq34e;Лояльные
cw8w94w5;Спящие
qwebce9b;Отток
gew563ww;Лояльные
694dec2b;Лояльные
6w1dqcqb;Спящие
673g81d3;Предотток
gb6161d9;Спящие
e197c623;Лояльные
g8b313d2;Отток
qbc2e668;Отток
269e7q72;Отток
b9b85de2;Спящие
6wbeew24;Спящие
5716w77g;Отток
6decd87b;Отток
qbc1cwqe;Отток
g5wdb842;Лояльные
3678766e;Лояльные
6d555bq9;Отток
w2982424;Предотток
8g2dce1e;Отток
cbge5d1q;Лояльные
b2412c9w;Спящие
bw8c1qb5;Отток
bw8c1qb8;Отток
355e64b5;Лояльные
27b7qcqg;Предотток
5g58641q;Лояльные
44e857c9;Спящие
82q9g782;Отток
6eq3q89w;Отток
dbeb27qq;Отток
21767846;Отток
bb25q2b3;Отток
53b9955c;Лояльные
1dw48web;Отток
9e9eegw8;Предотток
193e2892;Отток
c7219db7;Отток
6cb33ce7;Спящие
b3637edg;Лояльные
276cwd7c;Предотток
9q28ce56;Предотток
q1dwq66b;Отток
64ggee6c;Отток
24cc44b8;Спящие
w7gd4811;Предотток
b7d658c9;Отток
we1d7ddd;Лояльные
bcg77962;Лояльные
7q2d1g5g;Отток
cewc9175;Лояльные
7d53252b;Лояльные
w41cc167;Лояльные
qwg16756;Лояльные
bw71974q;Лояльные
6w8g3bd5;Спящие
8dqc7qwd;Отток
855w952c;Отток
d415eg1w;Отток
97gwdb37;Отток
13e32qec;Лояльные
1b18gqd5;Отток
6gwg7g6q;Спящие
11388d4w;Отток
779qe4b5;Предотток
e79b334c;Отток
gw4wd512;Лояльные
gge3ce42;Отток
w9dw121w;Спящие
b13bw2ce;Лояльные
gwb92g65;Лояльные
64e27645;Отток
5841w85e;Предотток
4g8w33g4;Лояльные
eg4294wq;Лояльные
q525d8d6;Отток
131w6c4b;Отток
c95d5w12;Лояльные
844e7b3d;Отток
7b1d8e15;Отток
w857dge2;Отток
wg3g9bd5;Отток
d44318gd;Отток
5b1cbw2q;Лояльные
8c737qew;Отток
q7847qbd;Предотток
3ew91wb3;Лояльные
7wb91938;Лояльные
b95c695b;Предотток
9q2bdd7g;Отток
4876b9dq;Отток
q51wgb5g;Спящие
76g232w4;Отток
g347qgw7;Спящие
eece7b4e;Предотток
68dw5wcb;Спящие
q97587b8;Спящие
6wc21c98;Спящие
4qw741e3;Предотток
8ce4355w;Отток
wc76wqqg;Спящие
wbgc6wc4;Лояльные
5gw76ceb;Лояльные
w4e8665c;Спящие
d311d26d;Лояльные
6we6g2q2;Отток
5211464e;Предотток
1we6765q;Спящие
d2e92337;Отток
d65e6dcd;Предотток
885426cq;Лояльные
57q8qcgw;Отток
18637ew9;Предотток
57q8qc16;Отток
261cd713;Отток
dg67dc2w;Лояльные
bd43cc8g;Спящие
qdd6b685;Предотток
84ce3g5d;Отток
16914g79;Спящие
579112ec;Лояльные
1c5b59c6;Предотток
1552c4gg;Отток
8q89g66q;Отток
cg53de33;Отток
gb959ee5;Лояльные
2q675199;Отток
4dwd8141;Спящие
g86687c5;Спящие
43d15cc9;Отток
4bb9gd94;Спящие
8d9gb764;Лояльные
21q4qddd;Отток
gce1c1ew;Отток
98b15397;Отток
5585d679;Отток
egdc4592;Лояльные
9cqcw2e9;Спящие
